Population,RegionName,Time,Indicator,NumValue
Third-gen cephalosporins,Luxembourg,2013,"I - 'susceptible, increased exposure' isolates ",0.000000000
Third-gen cephalosporins,Latvia,2013,"I - 'susceptible, increased exposure' isolates ",0.000000000
Third-gen cephalosporins,Malta,2013,"I - 'susceptible, increased exposure' isolates ",3.000000000
Third-gen cephalosporins,Netherlands,2013,"I - 'susceptible, increased exposure' isolates ",1.000000000
Third-gen cephalosporins,Norway,2013,"I - 'susceptible, increased exposure' isolates ",6.000000000
Third-gen cephalosporins,Poland,2013,"I - 'susceptible, increased exposure' isolates ",2.000000000
Third-gen cephalosporins,Portugal,2013,"I - 'susceptible, increased exposure' isolates ",16.000000000
Third-gen cephalosporins,Romania,2013,"I - 'susceptible, increased exposure' isolates ",3.000000000
Third-gen cephalosporins,Sweden,2013,"I - 'susceptible, increased exposure' isolates ",9.000000000
Third-gen cephalosporins,Slovenia,2013,"I - 'susceptible, increased exposure' isolates ",1.000000000
Third-gen cephalosporins,Slovakia,2013,"I - 'susceptible, increased exposure' isolates ",9.000000000
Third-gen cephalosporins,United Kingdom,2013,"I - 'susceptible, increased exposure' isolates ",6.000000000
Third-gen cephalosporins,Austria,2014,"I - 'susceptible, increased exposure' isolates ",11.000000000
Third-gen cephalosporins,Belgium,2014,"I - 'susceptible, increased exposure' isolates ",14.000000000
Third-gen cephalosporins,Bulgaria,2014,"I - 'susceptible, increased exposure' isolates ",3.000000000
Third-gen cephalosporins,Cyprus,2014,"I - 'susceptible, increased exposure' isolates ",2.000000000
Third-gen cephalosporins,Czechia,2014,"I - 'susceptible, increased exposure' isolates ",35.000000000
Third-gen cephalosporins,Germany,2014,"I - 'susceptible, increased exposure' isolates ",6.000000000
Third-gen cephalosporins,Denmark,2014,"I - 'susceptible, increased exposure' isolates ",12.000000000
Third-gen cephalosporins,Estonia,2014,"I - 'susceptible, increased exposure' isolates ",2.000000000
Third-gen cephalosporins,Greece,2014,"I - 'susceptible, increased exposure' isolates ",3.000000000
Third-gen cephalosporins,Spain,2014,"I - 'susceptible, increased exposure' isolates ",4.000000000
Third-gen cephalosporins,Finland,2014,"I - 'susceptible, increased exposure' isolates ",9.000000000
Third-gen cephalosporins,France,2014,"I - 'susceptible, increased exposure' isolates ",24.000000000
Third-gen cephalosporins,Croatia,2014,"I - 'susceptible, increased exposure' isolates ",3.000000000
